"steps","date","interval","weekday","type"
38,2012-10-01,1020,"Monday","weekday"
50,2012-10-01,1025,"Monday","weekday"
44,2012-10-01,1030,"Monday","weekday"
37,2012-10-01,1035,"Monday","weekday"
34,2012-10-01,1040,"Monday","weekday"
28,2012-10-01,1045,"Monday","weekday"
25,2012-10-01,1050,"Monday","weekday"
31,2012-10-01,1055,"Monday","weekday"
31,2012-10-01,1100,"Monday","weekday"
29,2012-10-01,1105,"Monday","weekday"
21,2012-10-01,1110,"Monday","weekday"
25,2012-10-01,1115,"Monday","weekday"
28,2012-10-01,1120,"Monday","weekday"
26,2012-10-01,1125,"Monday","weekday"
33,2012-10-01,1130,"Monday","weekday"
49,2012-10-01,1135,"Monday","weekday"
42,2012-10-01,1140,"Monday","weekday"
44,2012-10-01,1145,"Monday","weekday"
46,2012-10-01,1150,"Monday","weekday"
59,2012-10-01,1155,"Monday","weekday"
63,2012-10-01,1200,"Monday","weekday"
87,2012-10-01,1205,"Monday","weekday"
94,2012-10-01,1210,"Monday","weekday"
92,2012-10-01,1215,"Monday","weekday"
63,2012-10-01,1220,"Monday","weekday"
50,2012-10-01,1225,"Monday","weekday"
54,2012-10-01,1230,"Monday","weekday"
32,2012-10-01,1235,"Monday","weekday"
26,2012-10-01,1240,"Monday","weekday"
37,2012-10-01,1245,"Monday","weekday"
45,2012-10-01,1250,"Monday","weekday"
67,2012-10-01,1255,"Monday","weekday"
42,2012-10-01,1300,"Monday","weekday"
39,2012-10-01,1305,"Monday","weekday"
43,2012-10-01,1310,"Monday","weekday"
40,2012-10-01,1315,"Monday","weekday"
46,2012-10-01,1320,"Monday","weekday"
56,2012-10-01,1325,"Monday","weekday"
42,2012-10-01,1330,"Monday","weekday"
25,2012-10-01,1335,"Monday","weekday"
39,2012-10-01,1340,"Monday","weekday"
53,2012-10-01,1345,"Monday","weekday"
47,2012-10-01,1350,"Monday","weekday"
60,2012-10-01,1355,"Monday","weekday"
55,2012-10-01,1400,"Monday","weekday"
51,2012-10-01,1405,"Monday","weekday"
43,2012-10-01,1410,"Monday","weekday"
48,2012-10-01,1415,"Monday","weekday"
35,2012-10-01,1420,"Monday","weekday"
37,2012-10-01,1425,"Monday","weekday"
41,2012-10-01,1430,"Monday","weekday"
27,2012-10-01,1435,"Monday","weekday"
17,2012-10-01,1440,"Monday","weekday"
26,2012-10-01,1445,"Monday","weekday"
43,2012-10-01,1450,"Monday","weekday"
43,2012-10-01,1455,"Monday","weekday"
30,2012-10-01,1500,"Monday","weekday"
36,2012-10-01,1505,"Monday","weekday"
35,2012-10-01,1510,"Monday","weekday"
38,2012-10-01,1515,"Monday","weekday"
45,2012-10-01,1520,"Monday","weekday"
47,2012-10-01,1525,"Monday","weekday"
48,2012-10-01,1530,"Monday","weekday"
65,2012-10-01,1535,"Monday","weekday"
82,2012-10-01,1540,"Monday","weekday"
98,2012-10-01,1545,"Monday","weekday"
102,2012-10-01,1550,"Monday","weekday"
83,2012-10-01,1555,"Monday","weekday"
62,2012-10-01,1600,"Monday","weekday"
64,2012-10-01,1605,"Monday","weekday"
74,2012-10-01,1610,"Monday","weekday"
63,2012-10-01,1615,"Monday","weekday"
56,2012-10-01,1620,"Monday","weekday"
59,2012-10-01,1625,"Monday","weekday"
43,2012-10-01,1630,"Monday","weekday"
38,2012-10-01,1635,"Monday","weekday"
44,2012-10-01,1640,"Monday","weekday"
45,2012-10-01,1645,"Monday","weekday"
46,2012-10-01,1650,"Monday","weekday"
43,2012-10-01,1655,"Monday","weekday"
46,2012-10-01,1700,"Monday","weekday"
56,2012-10-01,1705,"Monday","weekday"
50,2012-10-01,1710,"Monday","weekday"
61,2012-10-01,1715,"Monday","weekday"
72,2012-10-01,1720,"Monday","weekday"
78,2012-10-01,1725,"Monday","weekday"
68,2012-10-01,1730,"Monday","weekday"
59,2012-10-01,1735,"Monday","weekday"
75,2012-10-01,1740,"Monday","weekday"
56,2012-10-01,1745,"Monday","weekday"
34,2012-10-01,1750,"Monday","weekday"
37,2012-10-01,1755,"Monday","weekday"
40,2012-10-01,1800,"Monday","weekday"
58,2012-10-01,1805,"Monday","weekday"
74,2012-10-01,1810,"Monday","weekday"
85,2012-10-01,1815,"Monday","weekday"
59,2012-10-01,1820,"Monday","weekday"
67,2012-10-01,1825,"Monday","weekday"
77,2012-10-01,1830,"Monday","weekday"
74,2012-10-01,1835,"Monday","weekday"
85,2012-10-01,1840,"Monday","weekday"
99,2012-10-01,1845,"Monday","weekday"
86,2012-10-01,1850,"Monday","weekday"
85,2012-10-01,1855,"Monday","weekday"
84,2012-10-01,1900,"Monday","weekday"
77,2012-10-01,1905,"Monday","weekday"
58,2012-10-01,1910,"Monday","weekday"
53,2012-10-01,1915,"Monday","weekday"
36,2012-10-01,1920,"Monday","weekday"
20,2012-10-01,1925,"Monday","weekday"
27,2012-10-01,1930,"Monday","weekday"
40,2012-10-01,1935,"Monday","weekday"
30,2012-10-01,1940,"Monday","weekday"
25,2012-10-01,1945,"Monday","weekday"
45,2012-10-01,1950,"Monday","weekday"
33,2012-10-01,1955,"Monday","weekday"
19,2012-10-01,2000,"Monday","weekday"
19,2012-10-01,2005,"Monday","weekday"
19,2012-10-01,2010,"Monday","weekday"
33,2012-10-01,2015,"Monday","weekday"
26,2012-10-01,2020,"Monday","weekday"
21,2012-10-01,2025,"Monday","weekday"
27,2012-10-01,2030,"Monday","weekday"
21,2012-10-01,2035,"Monday","weekday"
19,2012-10-01,2040,"Monday","weekday"
21,2012-10-01,2045,"Monday","weekday"
32,2012-10-01,2050,"Monday","weekday"
20,2012-10-01,2055,"Monday","weekday"
15,2012-10-01,2100,"Monday","weekday"
17,2012-10-01,2105,"Monday","weekday"
23,2012-10-01,2110,"Monday","weekday"
19,2012-10-01,2115,"Monday","weekday"
12,2012-10-01,2120,"Monday","weekday"
8,2012-10-01,2125,"Monday","weekday"
14,2012-10-01,2130,"Monday","weekday"
16,2012-10-01,2135,"Monday","weekday"
8,2012-10-01,2140,"Monday","weekday"
7,2012-10-01,2145,"Monday","weekday"
8,2012-10-01,2150,"Monday","weekday"
2,2012-10-01,2155,"Monday","weekday"
1,2012-10-01,2200,"Monday","weekday"
3,2012-10-01,2205,"Monday","weekday"
4,2012-10-01,2210,"Monday","weekday"
8,2012-10-01,2215,"Monday","weekday"
7,2012-10-01,2220,"Monday","weekday"
8,2012-10-01,2225,"Monday","weekday"
9,2012-10-01,2230,"Monday","weekday"
2,2012-10-01,2235,"Monday","weekday"
0,2012-10-01,2240,"Monday","weekday"
0,2012-10-01,2245,"Monday","weekday"
1,2012-10-01,2250,"Monday","weekday"
4,2012-10-01,2255,"Monday","weekday"
3,2012-10-01,2300,"Monday","weekday"
2,2012-10-01,2305,"Monday","weekday"
0,2012-10-01,2310,"Monday","weekday"
0,2012-10-01,2315,"Monday","weekday"
0,2012-10-01,2320,"Monday","weekday"
1,2012-10-01,2325,"Monday","weekday"
2,2012-10-01,2330,"Monday","weekday"
4,2012-10-01,2335,"Monday","weekday"
3,2012-10-01,2340,"Monday","weekday"
0,2012-10-01,2345,"Monday","weekday"
0,2012-10-01,2350,"Monday","weekday"
1,2012-10-01,2355,"Monday","weekday"
0,2012-10-02,0,"Tuesday","weekday"
0,2012-10-02,5,"Tuesday","weekday"
0,2012-10-02,10,"Tuesday","weekday"
0,2012-10-02,15,"Tuesday","weekday"
0,2012-10-02,20,"Tuesday","weekday"
0,2012-10-02,25,"Tuesday","weekday"
0,2012-10-02,30,"Tuesday","weekday"
0,2012-10-02,35,"Tuesday","weekday"
0,2012-10-02,40,"Tuesday","weekday"
0,2012-10-02,45,"Tuesday","weekday"
0,2012-10-02,50,"Tuesday","weekday"
0,2012-10-02,55,"Tuesday","weekday"
0,2012-10-02,100,"Tuesday","weekday"
0,2012-10-02,105,"Tuesday","weekday"
0,2012-10-02,110,"Tuesday","weekday"
0,2012-10-02,115,"Tuesday","weekday"
0,2012-10-02,120,"Tuesday","weekday"
0,2012-10-02,125,"Tuesday","weekday"
0,2012-10-02,130,"Tuesday","weekday"
0,2012-10-02,135,"Tuesday","weekday"
0,2012-10-02,140,"Tuesday","weekday"
0,2012-10-02,145,"Tuesday","weekday"
0,2012-10-02,150,"Tuesday","weekday"
0,2012-10-02,155,"Tuesday","weekday"
0,2012-10-02,200,"Tuesday","weekday"
0,2012-10-02,205,"Tuesday","weekday"
0,2012-10-02,210,"Tuesday","weekday"
0,2012-10-02,215,"Tuesday","weekday"
0,2012-10-02,220,"Tuesday","weekday"
0,2012-10-02,225,"Tuesday","weekday"
0,2012-10-02,230,"Tuesday","weekday"
0,2012-10-02,235,"Tuesday","weekday"
0,2012-10-02,240,"Tuesday","weekday"
0,2012-10-02,245,"Tuesday","weekday"
0,2012-10-02,250,"Tuesday","weekday"
0,2012-10-02,255,"Tuesday","weekday"
0,2012-10-02,300,"Tuesday","weekday"
0,2012-10-02,305,"Tuesday","weekday"
0,2012-10-02,310,"Tuesday","weekday"
0,2012-10-02,315,"Tuesday","weekday"
0,2012-10-02,320,"Tuesday","weekday"
0,2012-10-02,325,"Tuesday","weekday"
0,2012-10-02,330,"Tuesday","weekday"
0,2012-10-02,335,"Tuesday","weekday"
0,2012-10-02,340,"Tuesday","weekday"
0,2012-10-02,345,"Tuesday","weekday"
0,2012-10-02,350,"Tuesday","weekday"
0,2012-10-02,355,"Tuesday","weekday"
0,2012-10-02,400,"Tuesday","weekday"
0,2012-10-02,405,"Tuesday","weekday"
0,2012-10-02,410,"Tuesday","weekday"
0,2012-10-02,415,"Tuesday","weekday"
0,2012-10-02,420,"Tuesday","weekday"
0,2012-10-02,425,"Tuesday","weekday"
0,2012-10-02,430,"Tuesday","weekday"
0,2012-10-02,435,"Tuesday","weekday"
0,2012-10-02,440,"Tuesday","weekday"
0,2012-10-02,445,"Tuesday","weekday"
0,2012-10-02,450,"Tuesday","weekday"
0,2012-10-02,455,"Tuesday","weekday"
0,2012-10-02,500,"Tuesday","weekday"
0,2012-10-02,505,"Tuesday","weekday"
0,2012-10-02,510,"Tuesday","weekday"
0,2012-10-02,515,"Tuesday","weekday"
0,2012-10-02,520,"Tuesday","weekday"
0,2012-10-02,525,"Tuesday","weekday"
0,2012-10-02,530,"Tuesday","weekday"
0,2012-10-02,535,"Tuesday","weekday"
0,2012-10-02,540,"Tuesday","weekday"
0,2012-10-02,545,"Tuesday","weekday"
0,2012-10-02,550,"Tuesday","weekday"
0,2012-10-02,555,"Tuesday","weekday"
0,2012-10-02,600,"Tuesday","weekday"
0,2012-10-02,605,"Tuesday","weekday"
0,2012-10-02,610,"Tuesday","weekday"
0,2012-10-02,615,"Tuesday","weekday"
0,2012-10-02,620,"Tuesday","weekday"
0,2012-10-02,625,"Tuesday","weekday"
0,2012-10-02,630,"Tuesday","weekday"
0,2012-10-02,635,"Tuesday","weekday"
0,2012-10-02,640,"Tuesday","weekday"
0,2012-10-02,645,"Tuesday","weekday"
0,2012-10-02,650,"Tuesday","weekday"
0,2012-10-02,655,"Tuesday","weekday"
0,2012-10-02,700,"Tuesday","weekday"
0,2012-10-02,705,"Tuesday","weekday"
0,2012-10-02,710,"Tuesday","weekday"
0,2012-10-02,715,"Tuesday","weekday"
0,2012-10-02,720,"Tuesday","weekday"
0,2012-10-02,725,"Tuesday","weekday"
0,2012-10-02,730,"Tuesday","weekday"
0,2012-10-02,735,"Tuesday","weekday"
0,2012-10-02,740,"Tuesday","weekday"
0,2012-10-02,745,"Tuesday","weekday"
0,2012-10-02,750,"Tuesday","weekday"
0,2012-10-02,755,"Tuesday","weekday"
0,2012-10-02,800,"Tuesday","weekday"
0,2012-10-02,805,"Tuesday","weekday"
0,2012-10-02,810,"Tuesday","weekday"
0,2012-10-02,815,"Tuesday","weekday"
0,2012-10-02,820,"Tuesday","weekday"
0,2012-10-02,825,"Tuesday","weekday"
0,2012-10-02,830,"Tuesday","weekday"
0,2012-10-02,835,"Tuesday","weekday"
0,2012-10-02,840,"Tuesday","weekday"
0,2012-10-02,845,"Tuesday","weekday"
0,2012-10-02,850,"Tuesday","weekday"
0,2012-10-02,855,"Tuesday","weekday"
0,2012-10-02,900,"Tuesday","weekday"
0,2012-10-02,905,"Tuesday","weekday"
0,2012-10-02,910,"Tuesday","weekday"
0,2012-10-02,915,"Tuesday","weekday"
0,2012-10-02,920,"Tuesday","weekday"
0,2012-10-02,925,"Tuesday","weekday"
0,2012-10-02,930,"Tuesday","weekday"
0,2012-10-02,935,"Tuesday","weekday"
0,2012-10-02,940,"Tuesday","weekday"
0,2012-10-02,945,"Tuesday","weekday"
0,2012-10-02,950,"Tuesday","weekday"
0,2012-10-02,955,"Tuesday","weekday"
0,2012-10-02,1000,"Tuesday","weekday"
0,2012-10-02,1005,"Tuesday","weekday"
0,2012-10-02,1010,"Tuesday","weekday"
0,2012-10-02,1015,"Tuesday","weekday"
0,2012-10-02,1020,"Tuesday","weekday"
0,2012-10-02,1025,"Tuesday","weekday"
0,2012-10-02,1030,"Tuesday","weekday"
0,2012-10-02,1035,"Tuesday","weekday"
0,2012-10-02,1040,"Tuesday","weekday"
0,2012-10-02,1045,"Tuesday","weekday"
0,2012-10-02,1050,"Tuesday","weekday"
0,2012-10-02,1055,"Tuesday","weekday"
0,2012-10-02,1100,"Tuesday","weekday"
0,2012-10-02,1105,"Tuesday","weekday"
0,2012-10-02,1110,"Tuesday","weekday"
0,2012-10-02,1115,"Tuesday","weekday"
0,2012-10-02,1120,"Tuesday","weekday"
0,2012-10-02,1125,"Tuesday","weekday"
0,2012-10-02,1130,"Tuesday","weekday"
0,2012-10-02,1135,"Tuesday","weekday"
0,2012-10-02,1140,"Tuesday","weekday"
0,2012-10-02,1145,"Tuesday","weekday"
0,2012-10-02,1150,"Tuesday","weekday"
0,2012-10-02,1155,"Tuesday","weekday"
0,2012-10-02,1200,"Tuesday","weekday"
0,2012-10-02,1205,"Tuesday","weekday"
0,2012-10-02,1210,"Tuesday","weekday"
0,2012-10-02,1215,"Tuesday","weekday"
0,2012-10-02,1220,"Tuesday","weekday"
0,2012-10-02,1225,"Tuesday","weekday"
0,2012-10-02,1230,"Tuesday","weekday"
0,2012-10-02,1235,"Tuesday","weekday"
0,2012-10-02,1240,"Tuesday","weekday"
0,2012-10-02,1245,"Tuesday","weekday"
0,2012-10-02,1250,"Tuesday","weekday"
0,2012-10-02,1255,"Tuesday","weekday"
0,2012-10-02,1300,"Tuesday","weekday"
0,2012-10-02,1305,"Tuesday","weekday"
0,2012-10-02,1310,"Tuesday","weekday"
0,2012-10-02,1315,"Tuesday","weekday"
0,2012-10-02,1320,"Tuesday","weekday"
0,2012-10-02,1325,"Tuesday","weekday"
0,2012-10-02,1330,"Tuesday","weekday"
0,2012-10-02,1335,"Tuesday","weekday"
0,2012-10-02,1340,"Tuesday","weekday"
0,2012-10-02,1345,"Tuesday","weekday"
0,2012-10-02,1350,"Tuesday","weekday"
0,2012-10-02,1355,"Tuesday","weekday"
0,2012-10-02,1400,"Tuesday","weekday"
0,2012-10-02,1405,"Tuesday","weekday"
0,2012-10-02,1410,"Tuesday","weekday"
0,2012-10-02,1415,"Tuesday","weekday"
0,2012-10-02,1420,"Tuesday","weekday"
0,2012-10-02,1425,"Tuesday","weekday"
0,2012-10-02,1430,"Tuesday","weekday"
0,2012-10-02,1435,"Tuesday","weekday"
0,2012-10-02,1440,"Tuesday","weekday"
0,2012-10-02,1445,"Tuesday","weekday"
0,2012-10-02,1450,"Tuesday","weekday"
0,2012-10-02,1455,"Tuesday","weekday"
0,2012-10-02,1500,"Tuesday","weekday"
0,2012-10-02,1505,"Tuesday","weekday"
0,2012-10-02,1510,"Tuesday","weekday"
0,2012-10-02,1515,"Tuesday","weekday"
0,2012-10-02,1520,"Tuesday","weekday"
0,2012-10-02,1525,"Tuesday","weekday"
0,2012-10-02,1530,"Tuesday","weekday"
0,2012-10-02,1535,"Tuesday","weekday"
0,2012-10-02,1540,"Tuesday","weekday"
0,2012-10-02,1545,"Tuesday","weekday"
0,2012-10-02,1550,"Tuesday","weekday"
0,2012-10-02,1555,"Tuesday","weekday"
0,2012-10-02,1600,"Tuesday","weekday"
0,2012-10-02,1605,"Tuesday","weekday"
0,2012-10-02,1610,"Tuesday","weekday"
0,2012-10-02,1615,"Tuesday","weekday"
0,2012-10-02,1620,"Tuesday","weekday"
0,2012-10-02,1625,"Tuesday","weekday"
0,2012-10-02,1630,"Tuesday","weekday"
0,2012-10-02,1635,"Tuesday","weekday"
0,2012-10-02,1640,"Tuesday","weekday"
0,2012-10-02,1645,"Tuesday","weekday"
0,2012-10-02,1650,"Tuesday","weekday"
0,2012-10-02,1655,"Tuesday","weekday"
0,2012-10-02,1700,"Tuesday","weekday"
0,2012-10-02,1705,"Tuesday","weekday"
0,2012-10-02,1710,"Tuesday","weekday"
0,2012-10-02,1715,"Tuesday","weekday"
0,2012-10-02,1720,"Tuesday","weekday"
0,2012-10-02,1725,"Tuesday","weekday"
0,2012-10-02,1730,"Tuesday","weekday"
0,2012-10-02,1735,"Tuesday","weekday"
0,2012-10-02,1740,"Tuesday","weekday"
0,2012-10-02,1745,"Tuesday","weekday"
0,2012-10-02,1750,"Tuesday","weekday"
0,2012-10-02,1755,"Tuesday","weekday"
0,2012-10-02,1800,"Tuesday","weekday"
0,2012-10-02,1805,"Tuesday","weekday"
0,2012-10-02,1810,"Tuesday","weekday"
0,2012-10-02,1815,"Tuesday","weekday"
0,2012-10-02,1820,"Tuesday","weekday"
0,2012-10-02,1825,"Tuesday","weekday"
0,2012-10-02,1830,"Tuesday","weekday"
0,2012-10-02,1835,"Tuesday","weekday"
0,2012-10-02,1840,"Tuesday","weekday"
0,2012-10-02,1845,"Tuesday","weekday"
0,2012-10-02,1850,"Tuesday","weekday"
0,2012-10-02,1855,"Tuesday","weekday"
0,2012-10-02,1900,"Tuesday","weekday"
0,2012-10-02,1905,"Tuesday","weekday"
0,2012-10-02,1910,"Tuesday","weekday"
0,2012-10-02,1915,"Tuesday","weekday"
0,2012-10-02,1920,"Tuesday","weekday"
0,2012-10-02,1925,"Tuesday","weekday"
0,2012-10-02,1930,"Tuesday","weekday"
0,2012-10-02,1935,"Tuesday","weekday"
0,2012-10-02,1940,"Tuesday","weekday"
0,2012-10-02,1945,"Tuesday","weekday"
0,2012-10-02,1950,"Tuesday","weekday"
0,2012-10-02,1955,"Tuesday","weekday"
0,2012-10-02,2000,"Tuesday","weekday"
0,2012-10-02,2005,"Tuesday","weekday"
0,2012-10-02,2010,"Tuesday","weekday"
0,2012-10-02,2015,"Tuesday","weekday"
0,2012-10-02,2020,"Tuesday","weekday"
0,2012-10-02,2025,"Tuesday","weekday"
0,2012-10-02,2030,"Tuesday","weekday"
0,2012-10-02,2035,"Tuesday","weekday"
0,2012-10-02,2040,"Tuesday","weekday"
0,2012-10-02,2045,"Tuesday","weekday"
0,2012-10-02,2050,"Tuesday","weekday"
0,2012-10-02,2055,"Tuesday","weekday"
0,2012-10-02,2100,"Tuesday","weekday"
0,2012-10-02,2105,"Tuesday","weekday"
0,2012-10-02,2110,"Tuesday","weekday"
0,2012-10-02,2115,"Tuesday","weekday"
0,2012-10-02,2120,"Tuesday","weekday"
0,2012-10-02,2125,"Tuesday","weekday"
0,2012-10-02,2130,"Tuesday","weekday"
0,2012-10-02,2135,"Tuesday","weekday"
0,2012-10-02,2140,"Tuesday","weekday"
0,2012-10-02,2145,"Tuesday","weekday"
0,2012-10-02,2150,"Tuesday","weekday"
0,2012-10-02,2155,"Tuesday","weekday"
0,2012-10-02,2200,"Tuesday","weekday"
0,2012-10-02,2205,"Tuesday","weekday"
117,2012-10-02,2210,"Tuesday","weekday"
9,2012-10-02,2215,"Tuesday","weekday"
0,2012-10-02,2220,"Tuesday","weekday"
0,2012-10-02,2225,"Tuesday","weekday"
0,2012-10-02,2230,"Tuesday","weekday"
0,2012-10-02,2235,"Tuesday","weekday"
0,2012-10-02,2240,"Tuesday","weekday"
0,2012-10-02,2245,"Tuesday","weekday"
0,2012-10-02,2250,"Tuesday","weekday"
0,2012-10-02,2255,"Tuesday","weekday"
0,2012-10-02,2300,"Tuesday","weekday"
0,2012-10-02,2305,"Tuesday","weekday"
0,2012-10-02,2310,"Tuesday","weekday"
0,2012-10-02,2315,"Tuesday","weekday"
0,2012-10-02,2320,"Tuesday","weekday"
0,2012-10-02,2325,"Tuesday","weekday"
0,2012-10-02,2330,"Tuesday","weekday"
0,2012-10-02,2335,"Tuesday","weekday"
0,2012-10-02,2340,"Tuesday","weekday"
0,2012-10-02,2345,"Tuesday","weekday"
0,2012-10-02,2350,"Tuesday","weekday"
0,2012-10-02,2355,"Tuesday","weekday"
0,2012-10-03,0,"Wednesday","weekday"
0,2012-10-03,5,"Wednesday","weekday"
0,2012-10-03,10,"Wednesday","weekday"
0,2012-10-03,15,"Wednesday","weekday"
0,2012-10-03,20,"Wednesday","weekday"
0,2012-10-03,25,"Wednesday","weekday"
0,2012-10-03,30,"Wednesday","weekday"
0,2012-10-03,35,"Wednesday","weekday"
0,2012-10-03,40,"Wednesday","weekday"
0,2012-10-03,45,"Wednesday","weekday"
0,2012-10-03,50,"Wednesday","weekday"
0,2012-10-03,55,"Wednesday","weekday"
0,2012-10-03,100,"Wednesday","weekday"
0,2012-10-03,105,"Wednesday","weekday"
0,2012-10-03,110,"Wednesday","weekday"
0,2012-10-03,115,"Wednesday","weekday"
0,2012-10-03,120,"Wednesday","weekday"
0,2012-10-03,125,"Wednesday","weekday"
0,2012-10-03,130,"Wednesday","weekday"
0,2012-10-03,135,"Wednesday","weekday"
0,2012-10-03,140,"Wednesday","weekday"
0,2012-10-03,145,"Wednesday","weekday"
0,2012-10-03,150,"Wednesday","weekday"
0,2012-10-03,155,"Wednesday","weekday"
0,2012-10-03,200,"Wednesday","weekday"
0,2012-10-03,205,"Wednesday","weekday"
0,2012-10-03,210,"Wednesday","weekday"
0,2012-10-03,215,"Wednesday","weekday"
0,2012-10-03,220,"Wednesday","weekday"
0,2012-10-03,225,"Wednesday","weekday"
0,2012-10-03,230,"Wednesday","weekday"
0,2012-10-03,235,"Wednesday","weekday"
0,2012-10-03,240,"Wednesday","weekday"
0,2012-10-03,245,"Wednesday","weekday"
0,2012-10-03,250,"Wednesday","weekday"
0,2012-10-03,255,"Wednesday","weekday"
0,2012-10-03,300,"Wednesday","weekday"
0,2012-10-03,305,"Wednesday","weekday"
0,2012-10-03,310,"Wednesday","weekday"
0,2012-10-03,315,"Wednesday","weekday"
0,2012-10-03,320,"Wednesday","weekday"
